distinct(al.name), rt.stop
Gabon Airlines,0
Garuda Indonesia,0
Gazpromavia,0
Genesis,0
Georgian Airways,0
Georgian National Airlines,0
Germania,0
Germanwings,0
Go Air,0
Golden Air,0
Great Lakes Airlines,0
Grupo TACA,0
Gulf Air Bahrain,0
Hainan Airlines,0
Hankook Airline,0
Hapagfly,0
Harmony Airways,0
Hawaiian Airlines,0
Hawkair,0
Helijet,0
Hello,0
Helvetic Airways,0
Hex'Air,0
Hokkaido International Airlines,0
Homer Air,0
Hong Kong Airlines,0
Hong Kong Express Airways,0
Huaxia,0
Iberia Airlines,0
Iberworld,0
Ibex Airlines,0
Icelandair,0
Illinois Airways,0
IndiGo Airlines,0
Indonesia AirAsia,0
Insel Air (7I/INC) (Priv),0
Interair South Africa,0
Interjet (ABC Aerolineas),0
Interlink Airlines,0
Intersky,0
Interstate Airline,0
Iran Air,0
Iran Aseman Airlines,0
Island Air (WP),0
Isles of Scilly Skybus,0
Israir,0
IzAvia,0
Japan Air System,0
Japan Airlines,0
Japan Asia Airways,0
Japan Transocean Air,0
Jat Airways,0
Jazeera Airways,0
Jeju Air,0
Jet Airways,0
Jet2.com,0
JetBlue Airways,0
Jetstar Airways,0
Jetstar Asia Airways,0
Jetstar Pacific,0
Jin Air,0
Juneyao Airlines,0
KLM Royal Dutch Airlines,0
KSY,0
Kam Air,0
Kampuchea Airlines,0
Kenmore Air,0
Kenya Airways,0
Kish Air,0
Korean Air,0
Kuwait Airways,0
L,0
LACSA,0
LAN Airlines,0
LAN Argentina,0
LOT Polish Airlines,0
LSM Airlines,0
LTU International,0
Lao Airlines,0
Leeward Islands Air Transport,0
Libyan Arab Airlines,0
Linhas A,0
Lion Mentari Airlines,0
Lufthansa,0
Luxair,0
MIAT Mongolian Airlines,0
Maastricht Airlines,0
Mahan Air,0
Malaysia Airlines,0
Maldivian,0
Malindo Air,0
Malmö Aviation,0
Mandala Airlines,0
Mandarin Airlines,0
Mango,0
Marusya Airways,0
Marysya Airlines,0
Mauritania Airlines International,0
Maxair,0
Maya Island Air,0
Meridiana,0
Metro Batavia,0
MexicanaLink,0
Middle East Airlines,0
Midwest Airlines (Egypt),0
Mongolian International Air Lines ,0
Montenegro Airlines,0
Moskovia Airlines,0
Motor Sich,0
Myway Airlines,0
NHT Lineas Aereas,0
Nas Air,0
Nasair,0
Nationwide Airlines,0
Nauru Air Corporation,0
Nepal Airlines,0
NextJet,0
Niki,0
Nile Air,0
Nok Air,0
NordStar Airlines,0
Northern Dene Airways,0
Northwestern Air,0
Norwegian Air Shuttle,0
Nouvel Air Tunisie,0
Oceanair,0
Olympic Airlines,0
Oman Air,0
Omni Air International,0
Omskavia Airline,0
Onur Air,0
Orenburg Airlines,0
Orient Thai Airlines,0
Overland Airways,0
PAN Air,0
PB Air,0
Pacific Coastal Airline,0
Pacific East Asia Cargo Airlines,0
Pacific Wings,0
Pakistan International Airlines,0
Pal airlines,0
Papillon Grand Canyon Helicopters,0
Patriot Airways,0
Peach Aviation,0
Pegasus Airlines,0
Peninsula Airways,0
Peruvian Airlines,0
Philippine Airlines,0
Piedmont Airlines (1948-1989),0
Pinnacle Airlines,0
Polet Airlines (Priv),0
Porter Airlines,0
Potomac Air,0
Precision Air,0
Primaris Airlines,0
Proflight Commuter Services,0
Qantas,0
Qatar Airways,0
Rainbow Air Polynesia,0
Reem Air,0
Regional Express,0
Rossiya-Russian Airlines,0
Royal Air Cambodge,0
Royal Air Maroc,0
Royal Brunei Airlines,0
Royal Falcon,0
Royal Jordanian,0
Rwandair Express,0
Ryanair,0
S7 Airlines,0
SATA Air Acores,0
SATA International,0
SATENA,0
SENIC AIRLINES,0
SOCHI AIR CHATER,0
Safi Airlines,0
Salmon Air,0
Salzburg arrows,0
Santa Barbara Airlines,0
Saratov Aviation Division,0
Sat Airlines,0
Saudi Arabian Airlines,0
Scandinavian Airlines System,0
Scat Air,0
Scoot,0
SeaPort Airlines,0
Seaborne Airlines,0
Senegal Airlines,0
Servicios de Transportes A,0
Shaheen Air International,0
Shandong Airlines,0
Shanghai Airlines,0
Sharp Airlines,0
Shenzhen Airlines,0
Shuttle America,0
Sibaviatrans,0
Sichuan Airlines,0
SilkAir,0
Singapore Airlines,0
Sky Airline,0
SkyWork Airlines ,0
Skymark Airlines,0
Skynet Airlines,0
Skyservice Airlines,0
SmartLynx Airlines,0
Solomon Airlines,0
South African Airways,0
South East Asian Airlines,0
Southern Winds Airlines,0
Southwest Airlines,0
Spicejet,0
Spirit Airlines,0
SriLankan Airlines,0
Sriwijaya Air,0
Star Flyer,0
Star Peru (2I),0
Star1 Airlines,0
Starbow Airlines,0
Starline.kz,0
Sudan Airways,0
Sun Country Airlines,0
SunExpress,0
Surinam Airways,0
Swiss International Air Lines,0
T.J. Air,0
TAAG Angola Airlines,0
TACV,0
TAM Brazilian Airlines,0
TAM Mercosur,0
TAME,0
TAP Portugal,0
TRIP Linhas A,0
TUIfly,0
TUR Avrupa Hava YollarÄ±,0
Tajik Air,0
Tarom,0
Thai AirAsia,0
Thai Airways International,0
Thomas Cook Airlines,0
Thomsonfly,0
Tiara Air,0
Tiger Airways,0
Tiger Airways Australia,0
TransAsia Airways,0
TransHolding System,0
Transaero Airlines,0
Transavia France,0
Transavia Holland,0
Travel Service,0
Tropic Air,0
Tuninter,0
Tunisair,0
Turkish Airlines,0
Turkmenistan Airlines,0
Tway Airlines,0
Twin Jet,0
US Airways,0
UTair-Express,0
Ukraine International Airlines,0
Uni Air,0
United Airlines,0
United Airways,0
Ural Airlines,0
Uzbekistan Airways,0
VRG Linhas Aereas,0
Valuair,0
Varig Log,0
Vietnam Airlines,0
Viking Hellas,0
Virgin America,0
Virgin Atlantic Airways,0
Virgin Australia,0
Virgin Express,0
Virgin Pacific,0
VivaColombia,0
Volaris,0
WebJet Linhas A,0
West Air China,0
WestJet,0
Widerøe,0
Windward Islands Airways,0
Wizz Air,0
Wizz Air Ukraine,0
XL Airways France,0
Xiamen Airlines,0
Yangon Airways,0
Yemenia,0
Yeti Airways,0
ZABAIKAL AIRLINES,0
Zambia Skyways,0
Zest Air,0
Zip,0
Zoom Airlines,0
bmibaby,0
easyJet,0
